,Title,Anime Rank,Adaptation Type,Episodes,Aired,Anime Votes,Anime Score,Manga Rank,Type,Volumes,Published,Manga Votes,Manga Score
1285,Ultra Maniac,3245,TV,26,May 2003 - Nov 2003,32564,7.16,3161,Manga,5,Feb 2002 - Jan 2004,11105,7.45
1286,Futoku no Guild,6003,TV,12,Oct 2022 - Dec 2022,91844,6.57,15743,Manga,?,Jun 2017 -,7343,6.4
1287,Tennis no Ouji-sama,810,TV,178,Oct 2001 - Mar 2005,178741,7.86,1608,Manga,42,Jul 1999 - Mar 2008,25308,7.71
1288,Chobits,2093,TV,26,Apr 2002 - Sep 2002,470378,7.4,1245,Manga,8,Sep 2000 - Oct 2002,65969,7.8
1289,"Ijiranaide, Nagatoro-san",2563,TV,12,Apr 2021 - Jun 2021,756616,7.3,1919,Manga,?,Nov 2017 -,162421,7.65
1290,Thermae Romae,4245,TV,3,Jan 2012 - Jan 2012,26147,6.94,1555,Manga,6,Jan 2008 - Mar 2013,7605,7.72
1292,Sansha Sanyou,3582,TV,12,Apr 2016 - Jun 2016,61781,7.1,10380,Manga,14,Jan 2003 - Dec 2018,971,6.87
1293,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",6374,TV,?,Jul 2023 -,25354,6.51,4087,Manga,?,Jan 2017 -,1783,7.35
1295,Boyfriend,10493,Special,1,Feb 1992 - Feb 1992,1074,5.6,5330,Manga,10,1985 - 1988,1378,7.24
1296,Boyfriend,10493,Special,1,Feb 1992 - Feb 1992,1074,5.6,13887,Doujinshi,1,-,1185,6.59
1297,Boyfriend,10493,Special,1,Feb 1992 - Feb 1992,1074,5.6,3181,Manga,3,Mar 2009 - Jan 2010,8174,7.45
1298,Birth,8847,OVA,1,Jul 1984 - Jul 1984,6837,6.0,16162,Manga,9,1998 - 2003,972,6.33
1299,Aa! Megami-sama!,2566,OVA,5,Feb 1993 - May 1994,52752,7.29,2232,Manga,48,Aug 1988 - Apr 2014,17193,7.59
1300,Digimon Frontier,3336,TV,50,Apr 2002 - Mar 2003,152344,7.15,10885,Manhua,3,-,1064,6.83
1301,Tensura Nikki: Tensei shitara Slime Datta Ken,1421,TV,12,Apr 2021 - Jun 2021,314128,7.59,1429,Manga,?,Apr 2018 -,5315,7.75
1302,Koisuru Shirokuma,5937,Movie,21,Mar 2017 - 2020,7280,6.58,4518,Manga,?,Jun 2015 -,2120,7.31
1303,Blame!,9373,ONA,6,Oct 2003 - Oct 2003,31000,5.89,294,Manga,10,Jan 1997 - Jul 2003,141593,8.3
1304,Kannagi,2644,TV,13,Oct 2008 - Dec 2008,166054,7.28,3577,Manga,12,Dec 2005 - Jul 2017,8781,7.4
1305,Fune wo Amu,1330,TV,11,Oct 2016 - Dec 2016,117268,7.62,4219,Manga,2,Oct 2016 - Oct 2017,1271,7.34
1306,Mushikaburi-hime,4693,TV,12,Oct 2022 - Dec 2022,63454,6.84,7066,Manga,?,Aug 2018 -,3833,7.1
1308,Mushikago no Cagaster,6652,ONA,12,Feb 2020 - Feb 2020,37046,6.45,11320,Manga,7,Sep 2005 - May 2016,3374,6.8
1310,Isekai Cheat Magician,10961,TV,12,Jul 2019 - Sep 2019,308366,5.46,17149,Manga,?,Dec 2016 -,10513,6.08
1311,Ousama Ranking,105,TV,23,Oct 2021 - Mar 2022,583279,8.54,860,Manga,?,Feb 2019 -,7815,7.94
1312,"Inari, Konkon, Koi Iroha.",3107,TV,10,Jan 2014 - Mar 2014,161054,7.19,1115,Manga,10,Jul 2010 - Apr 2015,17758,7.84
1313,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,128,TV,39,Apr 2016 - Dec 2016,1061473,8.5,98,Manga,18,Apr 1992 - Nov 1995,97909,8.57
1314,ChäoS;HEAd,7408,TV,12,Oct 2008 - Dec 2008,282818,6.3,17159,Manga,1,Aug 2008 - May 2009,5111,6.07
1315,Danshi Koukousei no Nichijou,295,TV,12,Jan 2012 - Mar 2012,795090,8.24,365,Manga,7,May 2009 - Sep 2012,23749,8.23
1316,Ryou,11110,Movie,1,2014 - 2014,245,5.41,2590,Manga,13,1995 - 1999,1482,7.53
1317,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,4945,TV,12,Jul 2023 -,46806,6.79,10432,Manga,?,Aug 2021 -,2229,6.86
1319,Ouran Koukou Host Club,392,TV,26,Apr 2006 - Sep 2006,1084548,8.16,139,Manga,18,Jul 2002 - Sep 2010,123748,8.5
1321,19 Tian,8051,ONA,60,Jan 2019 - Apr 2019,1928,6.17,138,Manhua,?,Oct 2018 -,6148,8.5
1322,No Guns Life,4610,TV,12,Oct 2019 - Dec 2019,186362,6.86,4363,Manga,13,Sep 2014 - Sep 2021,12955,7.32
1323,Nurarihyon no Mago,1376,TV,24,Jul 2010 - Dec 2010,265027,7.61,768,Manga,25,Mar 2008 - Dec 2012,41556,7.98
1325,Nurarihyon no Mago,1376,TV,24,Jul 2010 - Dec 2010,265027,7.61,4075,One-shot,?,2006 - 2006,3581,7.35
1326,Mashiro no Oto,1584,TV,12,Apr 2021 - Jun 2021,144533,7.54,4942,Manga,31,Dec 2009 - Aug 2022,2043,7.27
1327,Yuru Camp△,276,TV,12,Jan 2018 - Mar 2018,463340,8.27,210,Manga,?,May 2015 -,16872,8.39
1328,Hal,2101,Movie,1,Jun 2013 - Jun 2013,140864,7.4,4711,Manga,1,Mar 2013 - Jun 2013,6276,7.29
1329,Hal,2101,Movie,1,Jun 2013 - Jun 2013,140864,7.4,9957,Manga,1,Mar 2008 - Oct 2009,1956,6.9
1330,The iDOLM@STER,1393,TV,25,Jul 2011 - Dec 2011,149830,7.6,2117,Manga,6,Aug 2012 - Aug 2016,1317,7.61
1332,Toradora!,487,TV,25,Oct 2008 - Mar 2009,2127683,8.08,700,Manga,?,Jul 2007 -,36907,8.02
1333,Heion Sedai no Idaten-tachi,1286,TV,11,Jul 2021 - Sep 2021,178070,7.64,6847,Manga,?,Aug 2018 -,5313,7.12
1334,Night Head Genesis,5173,TV,24,Jun 2006 - Dec 2006,30649,6.74,8483,Manga,3,Jul 2006 - Oct 2008,1034,7.0
