,Title,Anime Rank,Adaptation Type,Episodes,Aired,Anime Votes,Anime Score,Manga Rank,Type,Volumes,Published,Manga Votes,Manga Score
516,Soul Eater,841,TV,51,Apr 2008 - Mar 2009,1569655,7.84,586,Manga,25,Jun 2003 - Aug 2013,180703,8.09
517,Saiyuuki Reload Blast,2988,TV,12,Jul 2017 - Sep 2017,39738,7.21,649,Manga,?,Dec 2009 -,4077,8.05
518,Kanata no Astra,496,TV,12,Jul 2019 - Sep 2019,289529,8.08,709,Manga,5,May 2016 - Dec 2017,18380,8.01
519,Jitsu wa Watashi wa,4684,TV,13,Jul 2015 - Sep 2015,261729,6.84,772,Manga,22,Jan 2013 - Feb 2017,45429,7.97
520,Gabriel DropOut,1902,TV,12,Jan 2017 - Mar 2017,443566,7.45,1506,Manga,?,Dec 2013 -,14700,7.73
521,Mahou Sensei Negima!,4293,TV,26,Jan 2005 - Jun 2005,138396,6.93,877,Manga,38,Feb 2003 - Mar 2012,72668,7.93
522,Meitantei Conan: Zero no Tea Time,4488,TV,6,Apr 2022 - May 2022,12454,6.88,3271,Manga,6,May 2018 - May 2022,2178,7.44
523,Akame ga Kill!,1803,TV,24,Jul 2014 - Dec 2014,2004423,7.47,1141,Manga,15,Apr 2010 - Dec 2016,171503,7.83
524,Blood+,1324,TV,50,Oct 2005 - Sep 2006,368312,7.62,2437,Manga,5,Dec 2005 - Apr 2007,13248,7.56
526,Araburu Kisetsu no Otome-domo yo.,2331,TV,12,Jul 2019 - Sep 2019,322630,7.34,3845,Manga,8,Dec 2016 - Sep 2019,10599,7.37
527,Shin Kidou Senki Gundam Wing: Endless Waltz,1055,OVA,3,Jan 1997 - Jul 1997,47300,7.74,5744,Manga,1,Mar 1998 - Jul 1998,1379,7.2
528,Fushigi na Melmo,8834,TV,26,Oct 1971 - Mar 1972,1643,6.01,14450,Manga,1,Sep 1969 - Feb 1972,985,6.54
530,Eromanga-sensei,7104,TV,12,Apr 2017 - Jun 2017,697641,6.36,9926,Manga,12,May 2014 - May 2021,14293,6.9
531,Tokyo Tribe 2,5665,TV,13,Nov 2006 - Feb 2007,11679,6.64,12051,Manga,12,1997 - 2005,670,6.74
533,Sequence,11151,OVA,1,Mar 1992 - Mar 1992,1308,5.4,10877,Manga,2,2002 -,680,6.83
534,Shokugeki no Souma,393,TV,24,Apr 2015 - Sep 2015,1589826,8.16,872,Manga,36,Nov 2012 - Aug 2019,175296,7.93
535,Shinryaku! Ika Musume,2072,TV,12,Oct 2010 - Dec 2010,194092,7.41,1166,Manga,22,Jul 2007 - Feb 2016,7295,7.83
536,Kakugo no Susume,12338,OVA,2,Oct 1996 - Dec 1996,11183,4.76,9798,Manga,11,Feb 1994 - Mar 1996,2395,6.91
537,Mairimashita! Iruma-kun,1019,TV,23,Oct 2019 - Mar 2020,453596,7.75,259,Manga,?,Mar 2017 -,52263,8.34
538,Bakegyamon,5994,TV,51,Apr 2006 - Mar 2007,3520,6.57,6975,Manga,5,Mar 2006 - Mar 2007,635,7.11
539,Kamichama Karin,3022,TV,26,Apr 2007 - Sep 2007,50985,7.21,2790,Manga,7,Nov 2002 - Apr 2008,12000,7.5
540,30-sai no Hoken Taiiku,5689,TV,12,Apr 2011 - Jun 2011,62803,6.63,15976,Manga,2,Oct 2010 - Aug 2011,946,6.37
541,Saraiya Goyou,990,TV,12,Apr 2010 - Jul 2010,90029,7.77,574,Manga,8,Nov 2005 - Jul 2010,8641,8.1
542,Cuticle Tantei Inaba,2792,TV,12,Jan 2013 - Mar 2013,102360,7.25,3588,Manga,19,Aug 2007 - Mar 2017,2595,7.4
543,School Rumble,758,TV,26,Oct 2004 - Mar 2005,320817,7.89,765,Manga,22,Oct 2002 - Jul 2008,28928,7.98
544,Bonjour♪Koiaji Pâtisserie,8427,ONA,24,Oct 2014 - Mar 2015,58636,6.09,17549,One-shot,?,Oct 2014 - Oct 2014,1751,5.81
545,Barakamon,185,TV,12,Jul 2014 - Sep 2014,640386,8.38,173,Manga,18,Feb 2008 - Jan 2019,39363,8.44
546,Orenchi no Furo Jijou,4181,TV,13,Oct 2014 - Dec 2014,110697,6.96,2656,Manga,8,Jun 2011 - Feb 2020,6191,7.52
547,Kimera,11880,OVA,1,Jul 1996 - Jul 1996,7769,5.09,6910,Manga,16,-,658,7.11
548,Shingeki no Kyojin: Kuinaki Sentaku,165,OVA,2,Dec 2014 - Apr 2015,490647,8.41,473,Manga,2,Nov 2013 - Jun 2014,50701,8.16
549,Golgo 13,5017,Movie,1,May 1983 - May 1983,17991,6.77,1160,Manga,?,Nov 1968 -,5633,7.83
550,Mawaru Penguindrum,667,TV,24,Jul 2011 - Dec 2011,293088,7.94,10421,Manga,5,May 2013 - Jan 2017,1446,6.86
551,Mawaru Penguindrum,667,TV,24,Jul 2011 - Dec 2011,293088,7.94,1851,Novel,3,Jul 2011 - Feb 2012,2413,7.66
552,Fate/stay night,2636,TV,24,Jan 2006 - Jun 2006,916862,7.28,2534,Manga,20,Dec 2005 - Oct 2012,17516,7.54
553,Ao no Orchestra,3330,TV,24,Apr 2023 -,43915,7.14,2916,Manga,?,Apr 2017 -,5711,7.49
554,Hanasakeru Seishounen,1147,TV,39,Apr 2009 - Feb 2010,67583,7.7,4199,Manga,12,1987 - 1994,1415,7.34
555,"Umi no Yami, Tsuki no Kage",9846,OVA,3,Oct 1989 - Oct 1989,2016,5.77,6946,Manga,18,May 1987 - Oct 1991,716,7.11
557,Code Geass: Hangyaku no Lelouch,50,TV,25,Oct 2006 - Jul 2007,2158979,8.7,2142,Manga,8,Aug 2006 - Feb 2010,18711,7.61
558,Dr. Slump,4145,TV,74,Nov 1997 - Sep 1999,17584,6.97,1612,Manga,18,Jan 1980 - Aug 1984,15014,7.71
559,Tenshi na Konamaiki,1957,TV,50,Apr 2002 - Mar 2003,27374,7.43,4186,Manga,20,May 1999 - Aug 2003,3901,7.34
560,F,5398,TV,31,Mar 1988 - Dec 1988,3540,6.69,3791,Manga,28,Jul 1985 - Aug 1992,1099,7.38
561,Uchuu Senkan Yamato,1423,TV,26,Oct 1974 - Mar 1975,27358,7.59,12124,Manga,3,Oct 1974 - Dec 1979,1168,6.74
562,Buddy Go!,7989,Special,3,Apr 2016 - Apr 2016,6340,6.18,2038,Manga,12,Sep 2014 - May 2018,5434,7.62
563,Watashi no Yuri wa Oshigoto desu!,5293,TV,12,Apr 2023 - Jun 2023,43774,6.71,3006,Manga,?,Nov 2016 -,8261,7.47
564,Joshiraku,1912,TV,13,Jul 2012 - Sep 2012,171534,7.45,4291,Manga,6,Sep 2009 - Sep 2013,3903,7.33
565,Tesla Note,12439,TV,13,Oct 2021 - Dec 2021,23221,4.66,15658,Manga,7,Jan 2021 - Apr 2022,2220,6.41
567,Vanitas no Karte,728,TV,12,Jul 2021 - Sep 2021,487896,7.9,134,Manga,?,Dec 2015 -,59524,8.5
568,Monster Musume no Iru Nichijou,4124,TV,12,Jul 2015 - Sep 2015,725930,6.97,1946,Manga,?,Mar 2012 -,74422,7.64
569,Kurozuka,4550,TV,12,Oct 2008 - Dec 2008,95086,6.87,8044,Manga,10,Jul 2002 - Oct 2006,6980,7.03
570,Esper Mami,5608,TV,119,Apr 1987 - Oct 1989,2215,6.65,2206,Manga,9,1977 - 1983,348,7.6
571,Slam Dunk,109,TV,101,Oct 1993 - Mar 1996,284596,8.54,6,Manga,31,Sep 1990 - Jun 1996,156001,9.08
572,Animal Yokochou,2706,TV,51,Oct 2005 - Sep 2006,3057,7.27,3714,Manga,?,2000 -,299,7.39
574,"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",3538,TV,12,Jul 2019 - Sep 2019,205437,7.1,1656,Manga,?,Jul 2016 -,17158,7.7
575,Penguin Highway,1519,Movie,1,Aug 2018 - Aug 2018,82609,7.56,4892,Novel,1,May 2010 - May 2010,606,7.28
576,Shiyakusho,7953,ONA,1,Feb 2022 - Feb 2022,419,6.19,4792,Manga,?,Sep 2013 -,1435,7.29
577,Tiger Mask,2540,TV,105,Oct 1969 - Sep 1971,10170,7.3,6491,Manga,14,Jan 1968 - 1971,1062,7.14
578,Beastars,849,TV,12,Oct 2019 - Dec 2019,813523,7.84,341,Manga,22,Sep 2016 - Oct 2020,104783,8.26
579,Killing Bites,6073,TV,12,Jan 2018 - Mar 2018,183025,6.56,10642,Manga,?,Nov 2013 -,13359,6.85
580,Zero no Tsukaima,2925,TV,13,Jul 2006 - Sep 2006,796431,7.23,4413,Manga,7,Jun 2006 - Oct 2009,11464,7.32
582,Ushio to Tora,3389,OVA,10,Sep 1992 - Aug 1993,13727,7.14,1038,Manga,33,Feb 1990 - Oct 1996,8413,7.87
583,Koi Koi 7,9886,TV,13,Apr 2005 - Jun 2005,16198,5.76,12182,Manga,9,Aug 2002 - Jan 2007,736,6.73
584,Oniichan wa Oshimai!,1157,TV,12,Jan 2023 - Mar 2023,119690,7.7,1315,Manga,?,Jun 2018 -,16349,7.78
585,Natsuyuki Rendezvous,2685,TV,11,Jul 2012 - Sep 2012,81340,7.27,3661,Manga,4,Jun 2009 - Dec 2011,4933,7.39
587,Rokujouma no Shinryakusha!?,3438,TV,12,Jul 2014 - Sep 2014,176301,7.13,6441,Manga,5,Dec 2013 - Feb 2017,1118,7.15
588,Keppeki Danshi! Aoyama-kun,4168,TV,12,Jul 2017 - Sep 2017,185775,6.96,8160,Manga,13,May 2014 - Jan 2018,3149,7.03
589,Kill Me Baby,4620,TV,13,Jan 2012 - Mar 2012,118149,6.85,5519,Manga,?,Jul 2008 -,5404,7.22
590,Saijaku Muhai no Bahamut,6185,TV,12,Jan 2016 - Mar 2016,385336,6.54,7995,Manga,11,Jul 2014 - Mar 2018,6879,7.04
592,Mazinkaiser,2381,OVA,7,Sep 2001 - Sep 2002,10473,7.33,15419,Manga,1,2003 - 2003,499,6.44
593,Gokinjo Monogatari,1333,TV,50,Sep 1995 - Sep 1996,23838,7.62,677,Manga,7,Feb 1995 - Oct 1997,10769,8.03
594,Komori-san wa Kotowarenai!,7717,TV,12,Oct 2015 - Dec 2015,71413,6.24,6204,Manga,?,Feb 2012 -,4890,7.17
595,Senyuu.,2671,TV,13,Jan 2013 - Apr 2013,114399,7.28,819,Manga,2,May 2012 - Apr 2013,5217,7.96
596,Patalliro!,2972,TV,49,Apr 1982 - May 1983,7857,7.22,1448,Manga,?,Nov 1979 -,1044,7.75
597,Ginga Tetsudou 999,970,TV,113,Sep 1978 - Mar 1981,35740,7.78,742,Manga,18,Jan 1977 - Oct 1981,2684,7.99
598,Arata Kangatari,6688,TV,12,Apr 2013 - Jul 2013,71275,6.44,3897,Manga,?,Oct 2008 -,8285,7.37
599,Mononoke,157,TV,12,Jul 2007 - Sep 2007,310525,8.43,1800,Manga,2,Aug 2007 - Aug 2008,7614,7.67
600,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",4305,TV,12,Apr 2021 - Jun 2021,352301,6.93,6229,Manga,?,Jun 2017 -,18025,7.16
602,Sabikui Bisco,3293,TV,12,Jan 2022 - Mar 2022,234940,7.16,10626,Manga,4,Apr 2019 - Mar 2021,1459,6.85
604,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,3006,TV,13,Jul 2013 - Sep 2013,910446,7.21,7823,Manga,4,Mar 2013 - Jul 2014,9531,7.05
605,Kimi ni Todoke,600,TV,25,Oct 2009 - Mar 2010,895274,8.0,326,Manga,30,Aug 2005 - Nov 2017,113550,8.28
607,Koi to Yobu ni wa Kimochi Warui,3363,TV,12,Apr 2021 - Jun 2021,226095,7.14,5779,Manga,8,Feb 2016 - Mar 2021,7272,7.2
608,R.O.D: Read or Die,1348,OVA,3,May 2001 - Feb 2002,65776,7.62,7497,Manga,4,Dec 1999 - May 2002,4578,7.07
609,New Game!,1466,TV,12,Jul 2016 - Sep 2016,420311,7.57,988,Manga,13,Jan 2013 - Aug 2021,21861,7.89
610,Houkago Teibou Nisshi,2036,TV,12,Apr 2020 - Sep 2020,60694,7.42,3082,Manga,?,Feb 2017 -,1949,7.46
611,Rizelmine,6369,TV,24,Apr 2002 - Dec 2002,24693,6.51,15055,Manga,1,2001 - 2002,1677,6.48
613,Akikan!,8278,TV,12,Jan 2009 - Mar 2009,121983,6.12,17274,Manga,1,Oct 2008 - Apr 2009,2466,6.03
616,Needless,2970,TV,24,Jul 2009 - Dec 2009,139915,7.22,2168,Manga,16,Oct 2003 - Jun 2013,9039,7.6
618,Imawa no Kuni no Alice,2582,OVA,3,Oct 2014 - Feb 2015,56825,7.29,205,Manga,18,Nov 2010 - Mar 2016,73315,8.4
619,Oushitsu Kyoushi Heine,1865,TV,12,Apr 2017 - Jun 2017,138056,7.46,1022,Manga,17,Nov 2013 - May 2021,6022,7.87
620,Servamp,4476,TV,12,Jul 2016 - Sep 2016,276192,6.89,2208,Manga,?,Jun 2011 -,16949,7.6
621,Ryuu no Haisha,2247,Special,2,Feb 2017 - Feb 2017,41030,7.36,7790,Manga,1,Sep 2017 - Dec 2017,896,7.05
622,Juuou Mujin no Fafnir,8004,TV,12,Jan 2015 - Mar 2015,153817,6.18,14727,Manga,4,Mar 2014 - Dec 2015,3093,6.52
624,Joukamachi no Dandelion,3268,TV,12,Jul 2015 - Sep 2015,165075,7.16,3463,Manga,?,Feb 2012 -,4165,7.42
625,"Komi-san wa, Comyushou desu.",694,TV,12,Oct 2021 - Dec 2021,817582,7.92,475,Manga,?,May 2016 -,243085,8.15
626,ēlDLIVE,8405,TV,12,Jan 2017 - Mar 2017,47568,6.1,11738,Manga,11,Aug 2013 - Nov 2018,4822,6.77
628,Dear Boys,4957,TV,26,Apr 2003 - Sep 2003,21644,6.78,8422,Manga,23,Jun 1989 - Jan 1997,1344,7.01
629,Maburaho,5165,TV,24,Oct 2003 - Apr 2004,95857,6.74,14822,Manga,2,Apr 2003 - Sep 2004,2475,6.51
631,Mitsu x Mitsu Drops,9334,OVA,2,Apr 2006 - Jul 2006,25402,5.9,7296,Manga,8,2004 - 2006,15549,7.08
632,Boogiepop wa Warawanai,3251,TV,12,Jan 2000 - Mar 2000,129363,7.16,6607,Manga,2,Aug 1999 - Jun 2002,3041,7.13
633,Kyou no Asuka Show,5917,ONA,20,Aug 2012 - Jan 2013,46576,6.59,7720,Manga,4,Aug 2009 - Jul 2013,8011,7.06
634,Cat's Eye,3092,TV,73,Jul 1983 - Jul 1985,20650,7.19,3576,Manga,18,Jun 1981 - Jan 1985,3255,7.4
635,B-gata H-kei,4648,TV,12,Apr 2010 - Jun 2010,381814,6.85,2966,Manga,9,Apr 2004 - Feb 2011,18515,7.48
636,Shichinin no Nana,4703,TV,25,Jan 2002 - Jun 2002,6588,6.84,14436,Manga,3,Nov 2001 - May 2002,518,6.54
638,Seikoku no Dragonar,6816,TV,12,Apr 2014 - Jun 2014,216647,6.42,7467,Manga,13,Apr 2011 - Nov 2016,8553,7.07
640,Tsuki ga Michibiku Isekai Douchuu,1136,TV,12,Jul 2021 - Sep 2021,369653,7.71,1352,Manga,?,Jun 2015 -,35233,7.77
641,Astro Boy: Tetsuwan Atom,3914,TV,50,Apr 2003 - Mar 2004,22804,7.02,11895,Manga,3,Apr 2003 - Aug 2003,2103,6.75
642,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",4316,TV,13,Oct 2022 - Dec 2022,162892,6.93,10286,Manga,?,Jan 2019 -,8224,6.87
643,Nichijou,142,TV,26,Apr 2011 - Sep 2011,855970,8.46,228,Manga,?,Jun 2006 -,34747,8.37
644,Matantei Loki Ragnarok,2808,TV,26,Apr 2003 - Sep 2003,38070,7.25,4433,Manga,5,Mar 2002 - Aug 2004,2274,7.32
645,Asu no Yoichi!,5366,TV,12,Jan 2009 - Mar 2009,203255,6.7,6374,Manga,15,May 2006 - Feb 2011,15595,7.15
646,Kamichu!,2211,TV,12,Jun 2005 - Sep 2005,61170,7.37,5697,Manga,2,Jun 2005 - Jan 2007,2578,7.21
647,Shugo Chara!,2114,TV,51,Oct 2007 - Sep 2008,213729,7.4,1569,Manga,12,Dec 2005 - Aug 2010,37549,7.72
648,Douluo Dalu II: Jueshi Tangmen,2795,ONA,52,Jun 2023 -,764,7.25,1156,Manhua,?,Nov 2012 -,8634,7.83
649,Shinrei Tantei Yakumo,2514,TV,13,Oct 2010 - Dec 2010,130785,7.31,817,Manga,14,Jun 2009 - Jun 2016,19290,7.96
650,Shinrei Tantei Yakumo,2514,TV,13,Oct 2010 - Dec 2010,130785,7.31,1029,Novel,12,Sep 2004 - Jun 2020,3910,7.87
651,Ushinawareta Mirai wo Motomete,5207,TV,12,Oct 2014 - Dec 2014,90642,6.73,8293,Manga,2,Sep 2011 - Aug 2012,767,7.02
652,Kemono Jihen,2115,TV,12,Jan 2021 - Mar 2021,354176,7.39,1721,Manga,?,Dec 2016 -,27648,7.68
654,Majo no Tabitabi,1565,TV,12,Oct 2020 - Dec 2020,373789,7.55,1583,Manga,?,Nov 2018 -,4642,7.72
655,Sakura Taisen,4614,TV,25,Apr 2000 - Sep 2000,25297,6.86,8737,Manga,9,Jun 2002 - Dec 2008,2074,6.98
656,Tengoku Daimakyou,313,TV,13,Apr 2023 - Jun 2023,306575,8.23,863,Manga,?,Jan 2018 -,18626,7.93
657,Chuukan Kanriroku Tonegawa,3203,TV,24,Jul 2018 - Dec 2018,39835,7.17,6099,Manga,10,Jun 2015 - Jun 2020,976,7.18
658,Mamotte! Lollipop,5797,TV,13,Jul 2006 - Sep 2006,24827,6.61,4816,Manga,7,Nov 2002 - Aug 2005,5998,7.28
659,Mahoutsukai Precure!,2751,TV,50,Feb 2016 - Jan 2017,13006,7.26,4922,Manga,2,Feb 2016 - Dec 2016,352,7.28
660,Peach Girl,4234,TV,25,Jan 2005 - Jun 2005,100318,6.94,4584,Manga,18,Sep 1997 - Dec 2003,14272,7.3
661,Ginga Densetsu Weed,2950,TV,26,Nov 2005 - May 2006,15040,7.22,2774,Manga,60,May 1999 - Jul 2009,2302,7.51
662,Kunoichi Tsubaki no Mune no Uchi,3270,TV,13,Apr 2022 - Jul 2022,55891,7.16,5875,Manga,9,Jan 2018 - May 2023,6414,7.19
663,Cross Ange: Tenshi to Ryuu no Rondo,2138,TV,25,Oct 2014 - Mar 2015,197505,7.39,11110,Manga,3,Aug 2014 - Jun 2015,1364,6.82
664,Kyoushoku Soukou Guyver,7936,Movie,1,Dec 1986 - Dec 1986,6560,6.19,1490,Manga,32,Jan 1985 - Apr 2016,3673,7.74
665,Ninja Hattori-kun,4377,TV,694,Sep 1981 - Dec 1987,10765,6.91,5072,Manga,16,1964 - 1968,337,7.26
666,Chihayafuru,367,TV,25,Oct 2011 - Mar 2012,445010,8.18,104,Manga,50,Dec 2007 - Aug 2022,42682,8.56
667,Haikara-san ga Tooru,3103,TV,42,Jun 1978 - Mar 1979,6195,7.19,1865,Manga,8,1975 - 1977,1463,7.66
669,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,1936,TV,10,Jan 2013 - Mar 2013,569362,7.44,1950,Manga,4,Jul 2012 - Jan 2014,4431,7.64
670,Natsu e no Tobira,9419,Movie,1,Mar 1981 - Mar 1981,6039,5.88,16773,Manga,1,Oct 1975 - Oct 1975,1046,6.2
671,Suzumiya Haruhi-chan no Yuuutsu,1838,ONA,25,Feb 2009 - May 2009,97637,7.46,1449,Manga,12,Jul 2007 - Dec 2018,3581,7.75
672,Good Morning Call,8710,OVA,1,Aug 2001 - Aug 2001,6729,6.04,4551,Manga,11,Aug 1997 - Mar 2002,10826,7.31
673,Endro~!,4335,TV,12,Jan 2019 - Mar 2019,74035,6.92,13502,Manga,1,Aug 2018 - Feb 2019,437,6.63
674,Wolf's Rain,931,TV,26,Jan 2003 - Jul 2003,319921,7.8,6360,Manga,2,Feb 2003 - Jan 2004,14025,7.15
675,Bungou Stray Dogs Wan!,644,TV,12,Jan 2021 - Mar 2021,107107,7.96,395,Manga,?,Dec 2015 -,6047,8.21
678,Otona no Bouguya-san,10526,ONA,12,Oct 2018 - Dec 2018,40154,5.59,16917,Manga,?,Sep 2017 -,1682,6.17
681,Hundred,7399,TV,12,Apr 2016 - Jun 2016,359740,6.31,14029,Manga,2,Nov 2013 - Dec 2014,5192,6.58
682,Yowamushi Pedal,681,TV,38,Oct 2013 - Jul 2014,226515,7.93,734,Manga,?,Feb 2008 -,14105,7.99
683,Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita,7123,TV,12,Apr 2023 - Jun 2023,75398,6.36,16220,Manga,?,Mar 2020 -,1650,6.33
684,Magma Taishi,9330,OVA,13,Feb 1993 - Jun 1993,1228,5.9,3983,Manga,3,May 1965 - Aug 1967,599,7.36
685,Major 2nd,2119,TV,25,Apr 2018 - Sep 2018,32790,7.39,2760,Manga,?,Mar 2015 -,2391,7.51
686,Yumekuri,11025,OVA,1,Nov 2012 - Nov 2012,7489,5.44,9400,Manga,5,Jan 2012 - Dec 2016,3342,6.94
687,Tekkon Kinkreet,655,Movie,1,Dec 2006 - Dec 2006,107968,7.95,696,Manga,3,1993 - 1994,13865,8.02
688,Uchi no Kaisha no Chiisai Senpai no Hanashi,5504,TV,12,Jul 2023 -,49848,6.67,4891,Manga,?,Apr 2020 -,9261,7.28
689,Uchi no Kaisha no Chiisai Senpai no Hanashi,5504,TV,12,Jul 2023 -,49848,6.67,5606,Doujinshi,?,Dec 2019 -,4910,7.22
690,Sousei no Onmyouji,2536,TV,50,Apr 2016 - Mar 2017,495760,7.3,987,Manga,?,Nov 2013 -,46977,7.89
691,Sekirei,3848,TV,12,Jul 2008 - Sep 2008,398208,7.04,2537,Manga,19,Jan 2004 - Mar 2018,34002,7.54
692,Dan Doh!!,5760,TV,26,Apr 2004 - Sep 2004,4166,6.62,4432,Manga,29,1995 - 2000,496,7.32
693,Kishin Douji Zenki,4216,TV,51,Jan 1995 - Dec 1995,13708,6.95,7754,Manga,12,Nov 1992 - Aug 1996,459,7.05
694,Fresh Precure!,2139,TV,50,Feb 2009 - Jan 2010,16120,7.39,9959,Manga,1,Feb 2009 - Dec 2009,386,6.9
695,Noblesse,4494,TV,13,Oct 2020 - Dec 2020,276306,6.88,554,Manhwa,?,Dec 2007 - Jan 2019,104349,8.11
696,Maiko-san Chi no Makanai-san,3935,TV,12,Feb 2021 - Jan 2022,17152,7.02,982,Manga,?,Dec 2016 -,5214,7.89
697,Cross Game,188,TV,50,Apr 2009 - Mar 2010,121318,8.38,152,Manga,17,Sep 2005 - Feb 2010,20238,8.48
698,Mahou no Tenshi Creamy Mami,2450,TV,52,Jul 1983 - Jun 1984,14178,7.32,3722,Manga,3,1983 - 1983,768,7.39
699,Kidou Senshi Gundam F91,5773,Movie,1,Mar 1991 - Mar 1991,30729,6.62,8501,Manga,1,1991 - 1991,403,7.0
700,Ginban Kaleidoscope,2493,TV,12,Oct 2005 - Dec 2005,48656,7.31,6020,Manga,2,Aug 2005 - 2006,705,7.18
701,Suki na Ko ga Megane wo Wasureta,2676,TV,13,Jul 2023 -,98798,7.28,632,Manga,?,Nov 2018 -,32060,8.06
702,Whistle!,2184,TV,39,May 2002 - Feb 2003,14293,7.38,1280,Manga,24,Feb 1998 - Oct 2002,5741,7.79
703,Miyori no Mori,4490,Special,1,Aug 2007 - Aug 2007,12771,6.88,5843,Manga,3,2004 - 2008,1344,7.2
704,Isekai no Seikishi Monogatari,1037,OVA,13,May 2009 - May 2010,195363,7.75,9956,Manga,2,Jun 2009 - May 2010,1390,6.9
705,Atom: The Beginning,4816,TV,12,Apr 2017 - Jul 2017,30414,6.81,2758,Manga,?,Dec 2014 -,2612,7.51
706,Gakusen Toshi Asterisk,4802,TV,12,Oct 2015 - Dec 2015,641390,6.82,8413,Manga,5,May 2013 - Aug 2016,7383,7.01
709,Inu to Hasami wa Tsukaiyou,6162,TV,12,Jul 2013 - Sep 2013,145162,6.54,11592,Manga,4,May 2012 - Mar 2014,1627,6.78
710,Kuzu no Honkai,3369,TV,12,Jan 2017 - Mar 2017,660167,7.14,5249,Manga,9,Sep 2012 - May 2018,50887,7.25
711,Poyopoyo Kansatsu Nikki,1292,TV,52,Jan 2012 - Dec 2012,20667,7.64,6053,Manga,15,Dec 2003 - Feb 2016,915,7.18
712,Shuffle!,3880,TV,24,Jul 2005 - Jan 2006,273822,7.03,2675,Manga,6,Dec 2003 - Dec 2006,2435,7.52
714,Ibara no Ou,4456,Movie,1,Oct 2009 - Oct 2009,73329,6.89,2763,Manga,6,Sep 2002 - Sep 2005,16433,7.51
715,Soredemo Sekai wa Utsukushii,1392,TV,12,Apr 2014 - Jun 2014,303271,7.6,871,Manga,25,Mar 2009 - May 2020,23624,7.93
716,Alien 9,5297,OVA,4,Jun 2001 - Feb 2002,37244,6.71,6608,Manga,3,Jun 1998 - Aug 1999,9108,7.13
718,Clockwork Planet,6692,TV,12,Apr 2017 - Jun 2017,154797,6.44,4343,Manga,10,Sep 2013 - Aug 2018,10521,7.33
720,Kono Subarashii Sekai ni Shukufuku wo!,442,TV,10,Jan 2016 - Mar 2016,1869953,8.11,738,Manga,?,Sep 2014 -,22147,7.99
722,Mahou Shoujo Ikusei Keikaku,4175,TV,12,Oct 2016 - Dec 2016,155891,6.96,9016,Manga,2,Sep 2014 - Oct 2015,2117,6.96
723,Amon: Devilman Mokushiroku,6485,OVA,1,May 2000 - May 2000,22011,6.48,11233,Manga,6,1999 - 2004,4870,6.81
724,Corrector Yui,4057,TV,52,Apr 1999 - Oct 2000,15913,6.99,11883,Manga,5,Apr 1999 - Dec 1999,699,6.75
725,Senryuu Shoujo,2176,TV,12,Apr 2019 - Jun 2019,180538,7.38,691,Manga,13,Oct 2016 - Apr 2020,30107,8.02
726,Coppelion,6541,TV,13,Oct 2013 - Dec 2013,118476,6.47,3565,Manga,26,Jun 2008 - Feb 2016,8938,7.41
727,Dokaben,6543,TV,163,Oct 1976 - Dec 1979,1177,6.47,5650,Manga,48,Mar 1972 - Mar 1981,532,7.21
728,Kamen no Maid Guy,4071,TV,12,Apr 2008 - Jun 2008,40691,6.99,6619,Manga,15,Nov 2004 - Mar 2012,1106,7.13
729,Jibaku Shounen Hanako-kun,856,TV,12,Jan 2020 - Mar 2020,558085,7.84,96,Manga,?,Dec 2014 -,104945,8.58
730,Housekishou Richard-shi no Nazo Kantei,3106,TV,12,Jan 2020 - Mar 2020,64232,7.19,4471,Manga,?,Nov 2019 -,985,7.32
731,Fate/kaleid liner Prisma☆Illya 3rei!!,1714,TV,12,Jul 2016 - Sep 2016,123899,7.5,453,Manga,?,May 2012 -,9271,8.17
732,Fruits Basket,1179,TV,26,Jul 2001 - Dec 2001,525695,7.69,123,Manga,23,Jul 1998 - Nov 2006,138780,8.52
733,Mouse,8952,TV,12,Jan 2003 - Mar 2003,20472,5.98,9629,Manga,14,Nov 1999 - Aug 2004,1947,6.92
734,Senki Zesshou Symphogear,3877,TV,13,Jan 2012 - Mar 2012,114800,7.03,9265,Manga,3,Dec 2011 - Mar 2013,1417,6.95
735,Darling in the FranXX,3007,TV,24,Jan 2018 - Jul 2018,1572754,7.21,2701,Manga,8,Jan 2018 - Jan 2020,38185,7.52
736,Brave 10,5096,TV,12,Jan 2012 - Mar 2012,145624,6.75,4989,Manga,8,Oct 2006 - Dec 2010,5814,7.27
737,Black Lagoon,550,TV,12,Apr 2006 - Jun 2006,963314,8.03,324,Manga,?,Apr 2002 -,50627,8.28
739,Dennou Coil,537,TV,26,May 2007 - Dec 2007,143322,8.04,16567,Manga,1,Nov 2007 - Nov 2007,823,6.26
740,Isekai Ojisan,855,TV,13,Jul 2022 - Mar 2023,302079,7.84,1024,Manga,?,Jun 2018 -,16983,7.87
